@context,@type,url,sameAs,contactPoint,alternateName,name,itemListElement,address,image,description,telephone,contactPoint_@type,contactPoint_contactType,contactPoint_email,contactPoint_url,itemListElement_item_name,itemListElement_position,itemListElement_@type,itemListElement_item_@id,address_addressLocality,address_streetAddress,address_addressRegion,address_postalCode,address_@type
https://schema.org,LocalBusiness,,,,,Stadium Vineyard,,,https://www.foodpantries.org/gallery/no_photo_1.jpg,Provides a food pantry.  Pantry hours: Sunday 12:15pm to 1:00pm,714-937-5111,,,,,,,,,Anaheim,1531 S. Sinclair St.,CA,92806,PostalAddress
https://schema.org,LocalBusiness,,,,,The Rock,,,https://www.foodpantries.org/gallery/24298_the_rock_92801_xim.jpg,"The Rock Food Hours:Saturday7:00am - 8:45amIt will be cancelled when it rains and any major church campus event, which we try to announce ahead of time. A current ID along with a utility bill of present address is required. Registration closes at 8:45am. A carrier for food is advisable.For more information, please call. ",(714) 526-8233,,,,,,,,,Anaheim,295 E Orangethorpe Ave,CA,92801,PostalAddress
https://schema.org,LocalBusiness,,,,, St Justin Martyr Catolic Church,,,https://www.foodpantries.org/gallery/24273_st_vincent_de_paul_st_justin_martyr_92804_tac.jpg,"Provides a food pantry.  Pantry Hours: Wednesday 6:00pm - 7:00pm Hot meals Hours:Sunday 2:30am -3:30pmFor more information, please call. ",(714) 774-2595,,,,,,,,,Anaheim,2050 W. Ball Road,CA,92804,PostalAddress
https://schema.org,LocalBusiness,,,,,St Vincent de Paul - St Boniface,,,https://www.foodpantries.org/gallery/24268_st_vincent_de_paul_st_boniface_92805_gvv.png,"Provides a food pantry.  Pantry Hours: Monday - Friday 9:00am to 12:00pmFor more information, please call. ",(714) 956-3110,,,,,,,,,Anaheim,120 N Janss Street,CA,92805,PostalAddress
https://schema.org,LocalBusiness,,,,,San Antonio Family Assistance,,,https://www.foodpantries.org/gallery/no_photo_3.jpg,Provides a food pantry.  Pantry hours: Thursdays 12pm -3pm,714-974-9728,,,,,,,,,Anaheim,5800 E. Santa Ana Canyon Rd.,CA,92807,PostalAddress
https://schema.org,LocalBusiness,,,,,Salvation Army Anaheim,,,https://www.foodpantries.org/gallery/24190_salvation_army_92801_fth.jpg,"Provides a food pantry.  Pantry Hours: Monday, Tuesday, Thursday9:00am - 2:00pm Friday 9:00am - 12:00pmFor more information, please call. ",(714) 491-1450,,,,,,,,,Anaheim,1515 W. North Street,CA,92801,PostalAddress
https://schema.org,LocalBusiness,,,,,Freedom Bible Church,,,https://www.foodpantries.org/gallery/no_photo_7.jpg,Provides a food pantry.  Pantry Hours: Monday &amp; Friday10:00am -12:00pm,(714) 520-4677,,,,,,,,,Anaheim,121 W. Cypress Street,CA,92805,PostalAddress
https://schema.org,LocalBusiness,,,,,Christian Services Corporation,,,https://www.foodpantries.org/gallery/no_photo_4.jpg,Provides a food pantry.  Pantry Hours: Sunday 12:30pm - 1:00pm Wednesday 6:30pm - 7:30pm Emergency Food last Sunday 12:30pm,714-955-9525,,,,,,,,,Anaheim,641 S. Western Ave,CA,92804,PostalAddress
https://schema.org,LocalBusiness,,,,,Centro Familiar Cristiano Betesda,,,https://www.foodpantries.org/gallery/no_photo_9.jpg,Provides a food pantry.  Pantry Hours: Call for times,714-632-6838,,,,,,,,,Anaheim,2780 E Wagner Ave,CA,92806,PostalAddress
https://schema.org,LocalBusiness,,,,,Anaheim East Foursquare Church,,,https://www.foodpantries.org/gallery/no_photo_5.jpg,"Provides a food pantry.  Please call, for more information.Pantry Hours: The last Wednesday of each month 6:00pm - 6:30pm",714-701-1818,,,,,,,,,Anaheim,4905 E La Palma Ave,CA,92807,PostalAddress
https://schema.org,LocalBusiness,,,,,Anaheim Spanish Church,,,https://www.foodpantries.org/gallery/23978_anaheim_spanish_church_92805_qby.jpg,Provides a food pantry.  Pantry Hours: Wednesday 6:00pm - 9:00pm,(714) 956-2726,,,,,,,,,Anaheim,1457 E. Romneya Dr.,CA,92805,PostalAddress
https://schema.org,LocalBusiness,,,,,Agape House of Prayer,,,https://www.foodpantries.org/gallery/23971_agape_house_of_prayer_92801_lry.jpg,Provides a food pantry.  Pantry Hours: Friday 7:00pm - 8:00pm,714-805-6654,,,,,,,,,Anaheim,309 N. Manchester Ave,CA,92801,PostalAddress
https://schema.org,LocalBusiness,,,,,7th Day Adventist Church - Sunkist,,,https://www.foodpantries.org/gallery/23966_7th_day_adventist_church_sunkist_92806_kll.jpg,Provides a food pantry.  ID required. Pantry Hours: Wednesday 6:30pm -7:30pm Saturday1:00pm - 3:00pm,(714) 747-9648,,,,,,,,,Anaheim,900 S. Sunkist Street,CA,92806,PostalAddress
https://schema.org,LocalBusiness,,,,,Knott Avenue Christian Church Pantry,,,https://www.foodpantries.org/gallery/32733_knott-avenue-christian-church_zun.jpg,Food Pantry Hours:Thursday 1:30pm - 3:30pm,(714) 527-5195,,,,,,,,,Anaheim,315 S. Knott Ave,CA,92804,PostalAddress
https://schema.org,LocalBusiness,,,,,Crescent Food Pantry,,,https://www.foodpantries.org/gallery/38615_crescent-food-pantry_uey.jpg,"According to research done by the U.S. Department of Agriculture, 43 million Americans live in   œfood insecure   households meaning they don't know where their next meal is going to come from. To alleviate the national hunger crisis hitting families across America, ICNA Relief has established its hunger  prevention program to help both individuals and families from going hungry. ICNA Relief utilizes its full resources to launch effective programs that target impoverished communities thereby bringing life, nourishment and hope one meal a",(714) 399-4571,,,,,,,,,Anaheim,2180 West Crescent Ave,CA,92801,PostalAddress
https://schema.org,LocalBusiness,,,,,Community Action of Napa Valley - Angwin Pantry,,,https://www.foodpantries.org/gallery/24035_community_action_of_napa_valley_angwin_pantry_94508_dzj.jpg,"Provides a food pantry.  Serves Angwin area.Hours:Thursday/Jueves6:00pm - 9:00pmFor more information, please call.",(707) 253-6128,,,,,,,,,Angwin,1 Angwin Ave,CA,94508,PostalAddress
https://schema.org,LocalBusiness,,,,,Angwin Food Pantry,,,https://www.foodpantries.org/gallery/33061_angwin-food-pantry_ehc.jpg,"All residents of Angwin and Pope Valley are welcome. The Angwin Food Pantry Hours:Monday - Thursday 6:00pm - 9:00pmThe pantry always offers basic items such as canned fruit and vegetables, rice and dried beans, cooking oil, as well as a variety of other foods donated by local businesses.  El Food Pantry de Angwin esta disponible a todos los residentes de Angwin y Pope Valley. Horario:Jueves 6:00pm - 9:00pm Siempre ofrece frutas y vegetales enlatados, arroz y frijoles secos, aceite para cocinar, ",(707) 965-7297,,,,,,,,,Angwin,10 Angwin Avenue,CA,94508,PostalAddress
https://schema.org,LocalBusiness,,,,,Holy Rosary,,,https://www.foodpantries.org/gallery/36147_ca_holy-rosary_dkc.jpg,FREE FRESH PRODUCE twice a month to low-income individuals and their family. Please bring 2 bags with handlesHOURS1st and 3rd Friday&nbsp;1:00 pm to 2:00 pm,(925) 757-4020,,,,,,,,,Antioch,1313 A Street,CA,94509,PostalAddress
https://schema.org,LocalBusiness,,,,,Food Pantry Visions Christian Center,,,https://www.foodpantries.org/gallery/no_photo_6.jpg,"Pantry Hours: Thursday 11:00am - 12:00pmFor more information, please call. ",(925) 777-0290,,,,,,,,,Antioch,330 Worrell Rd.,CA,94509,PostalAddress
https://schema.org,LocalBusiness,,,,,Kings Chapel Food Pantry,,,https://www.foodpantries.org/gallery/33522_kings-chapel-food-pantry_jem.png,"Food Pantry Hours: Sunday 11:15am - 12:00pmFor more information, please call.",(925) 756-7315,,,,,,,,,Antioch,320 Worrell Road,CA,94509,PostalAddress
https://schema.org,LocalBusiness,,,,,Mission Elementary - Pantry,,,https://www.foodpantries.org/gallery/no_photo_3.jpg,"FREE FRESH PRODUCE twice a month to low-income individuals and their family. Please bring 2 bags with handles.Hours:2nd and 4th Wednesday of the month4:00pm to 5:00pmFor more information, please call. ",(925) 779-7435,,,,,,,,,Antioch,1711 Mission Drive,CA,94509 ,PostalAddress
https://schema.org,LocalBusiness,,,,,American Legion Hall,,,https://www.foodpantries.org/gallery/36148_american-legion-hall_xss.jpg,"FREE FRESH PRODUCE twice a month to low-income individuals and their family. Please bring 2 bags with handlesHOURS:1st and 3rd Friday&nbsp;3:00pm to 4:00pmFor more information, please call. ",(925) 754-8381,,,,,,,,,Antioch,403 W 6th Street,CA, 94509,PostalAddress
https://schema.org,LocalBusiness,,,,,Kid's Club - Pantry ,,,https://www.foodpantries.org/gallery/no_photo_9.jpg,FREE FRESH PRODUCE twice a month to low-income individuals and their family. Please bring 2 bags with handlesHOURS1st and 3rd Friday&nbsp;5:00pm to 6:00pm,925-706-1669,,,,,,,,,Antioch,800 Gary Ave.,CA,94509  ,PostalAddress
https://schema.org,LocalBusiness,,,,,Salvation Army - Antioch,,,https://www.foodpantries.org/gallery/no_photo_4.jpg,FREE FRESH PRODUCE twice a month to low-income individuals and their family. Please bring 2 bags with handlesHOURS&nbsp;2nd and 4th Wednesday&nbsp;4:00pm - 5:00pm,(925) 778-0303,,,,,,,,,Antioch,620 E. Tregallas Road,CA,94509,PostalAddress
https://schema.org,LocalBusiness,,,,,Antioch High School - Pantry,,,https://www.foodpantries.org/gallery/no_photo_6.jpg,FREE FRESH PRODUCE twice a month to low-income individuals and their family. Please bring 2 bags with handlesHOURS2nd and 4th Saturday10:00pm to 11:00pm,(925) 779-7550,,,,,,,,,Antioch,700 W. 18th Street,CA,94509,PostalAddress
https://schema.org,LocalBusiness,,,,,Carmen Dragon Elementary - Pantry,,,https://www.foodpantries.org/gallery/no_photo_6.jpg,FREE FRESH PRODUCE twice a month to low-income individuals and their family. Please bring 2 bags with handlesHOURS2nd and 4th Saturday2:00pm to 3:00pm,(925) 776-4760,,,,,,,,,Antioch,,CA,94531,PostalAddress
https://schema.org,LocalBusiness,,,,,Aptos Christian Fellowship,,,https://www.foodpantries.org/gallery/no_photo_8.jpg,Provides a food pantry.  Serves Santa Cruz County (Aptos) Pantry Hours: Last Tuesday of every month10:00pm - 12:00pm,(831) 688-3321,,,,,,,,,Aptos,7200 Freedom Boulevard,CA,95003,PostalAddress
https://schema.org,LocalBusiness,,,,,Arcata Pantry (Trinity Baptist Church),,,https://www.foodpantries.org/gallery/37676_arcata-pantry-trinity-baptist-church_tqv.png,"Hours: Wednesday 4:00pm - 6:00pmNo documentation required to receive food.  Can only receive aid one time per month. For more information, please call.",(707) 445-3166,,,,,,,,,Arcata,2450 Alliance Rd,CA,95521,PostalAddress
https://schema.org,LocalBusiness,,,,,St Joseph's Pantry Shelf,,,https://www.foodpantries.org/gallery/no_photo_10.jpg,"Provides a food pantry.  Pantry Hours: Monday, Wednesday and Friday 9:30am - 11:30pmFor more information, please call. ...",(707) 725-1148,,,,,,,,,Fortuna,2292 Newburg Road,CA,95540,PostalAddress
https://schema.org,LocalBusiness,,,,,Trinity County Food Bank - Community Church,,,https://www.foodpantries.org/gallery/no_photo_8.jpg,Hours:1st Thursday of every month11:00am - 12:00pm...,,,,,,,,,,Coffe Creek,420 Coffe Creek Rd,CA,96091,PostalAddress
https://schema.org,LocalBusiness,,,,,Avenal First Baptist Church,,,https://www.foodpantries.org/gallery/23982_avenal_first_baptist_church_93204_efe.jpg,Provides a food pantry.  Serves Avenal and Kettleman City. Must have referral from Kings Co. Human Resources or Healthy Start Program of the Reef-Sunset School District. Pantry Hours: Monday through Friday 9:00am - 6:00pm,(559) 386-5191,,,,,,,,,Avenal,208 East Kings Street,CA,93204,PostalAddress
https://schema.org,LocalBusiness,,,,,The Mission at Kern County,,,https://www.foodpantries.org/gallery/469_bakersfield-rescue-mission-womens-and-mens-shelter_oiz.png,"The Mission at Kern County, formally The Bakersfield Rescue Mission has been serving the community since 1952. In October, we celebrated 60-years of providing hope and restoration to a hurting population in our city.Business Hours: Monday - Friday 8:00 am - 4:00pmPlease contact them directly for more detailed program information.",(661) 325-0863,,,,,,,,,Bakersfield,816 E 21st Street,CA,93305,PostalAddress
https://schema.org,LocalBusiness,,,,,Golden Empire Gleaners,,,https://www.foodpantries.org/gallery/34568_golden-empire-gleaners_spn.00_png_srb,"Golden Empire Gleaners provides food boxes to hungry people all over Kern County.  There are a number of food programs including Sr. Sack and Volunteer for Food.  Hours vary, call for more information.Interested in volunteering?Your gift of time is the greatest gift you can give.We have a variety of volunteer positions and opportunities available to fit your interests, talents and availability.Whether you would like to volunteer on an ongoing basis or for a special project, we have positions that fit your busy schedule. W",(661) 324-2767,,,,,,,,,Bakersfield,1326 30th Street,CA,93301,PostalAddress
https://schema.org,LocalBusiness,,,,,Friendship House Community Center,,,https://www.foodpantries.org/gallery/no_photo_3.jpg,"Friendship House Community CenterThe Friendship House provides educational and recreational services to children from low-income families, such as after school and summer programs, as well as resources for the entire community, including plans for medical services, food distribution, job training and an outreach center.Food DistributionThe 4th Wednesday of each month9:30amFor&nbsp; more information, please call. ",(661) 369-8926,,,,,,,,,Bakersfield,2424 Cottonwood Rd,CA,93307,PostalAddress
https://schema.org,LocalBusiness,,,,,Bakersfield Hope Center,,,https://www.foodpantries.org/gallery/38487_bakersfield-hope-center_ice.jpg,"Hours: Monday - Friday 9:30am to 12:00pmThe Hope Center is part of the network of helping services in Kern County, cooperating and coordinating efforts with other non-profits, government agencies and private groups. The Hope Center has the confidence of the surrounding community and relies on its referrals. Beardsley and Standard School Districts, the County of Mental Health and the Food Bank are just a few who interact and share resources with the Hope Center.Food, Clothing, Shoes, Towels, Bedding, Kitchen s",(661) 399-2119,,,,,,,,,Bakersfield,3311 Manor Street,CA,93308,PostalAddress
https://schema.org,LocalBusiness,,,,,Shepherd's Pantry - Baldwin Park,,,https://www.foodpantries.org/gallery/39049_ca_91706_shepherds-pantry-baldwin-park_tmv.png,"Hours:Friday5:00pm - 7:00pmFor more information, please call. ",(626) 671-0090,,,,,,,,,Baldwin Park,13020 Francissquito Ave,CA,91706,PostalAddress
https://schema.org,LocalBusiness,,,,,Shepherd's Pantry - Irwindale Distribution Center,,,https://www.foodpantries.org/gallery/no_photo_8.jpg,"Food Pantry. Provide people with food assistance. Each person who comes seeking help sees a counselor who assesses their needs and arranges for their food allotment, as well as offering access to our extensive referral program. Pantry Hours:Tuesday5:00pm - 7:00pmHomeless Food DistributionMonday, Wednesday, Friday11:00am - 12:00pmFor more information, please call....",(626) 305-0392,,,,,,,,,Irwindale,1418 Arrow Highway,CA,91706,PostalAddress
https://schema.org,LocalBusiness,,,,,La Puente Church of Christ,,,https://www.foodpantries.org/gallery/no_photo_9.jpg,Hours:1st &amp; 3rd Friday of the month 1:00pm - 3:00pm 1st &amp; 3rd Sunday of the month 1:00pm - 3:00pm Bread Distribution HourThursday 10:00am - 1:00pm Serves: La Puente residents and all surrounding cities...,(626) 917-8814,,,,,,,,,La Puente,15124 Amar Rd,CA,91746,PostalAddress
https://schema.org,LocalBusiness,,,,,Our Saviour Center Food Pantry,,,https://www.foodpantries.org/gallery/no_photo_6.jpg,"Distributes groceries.Hours:Tuesday and Thursday (except holidays)For more information, please call....",(626) 579-2190,,,,,,,,,El Monte,4368 Santa Anita Ave,CA,91731,PostalAddress
https://schema.org,LocalBusiness,,,,,Our Saviour Center Food Pantry,,,https://www.foodpantries.org/gallery/no_photo_1.jpg,"Hours:Tuesday and Thursday 10:00am to 1:00pmUnless it is a holiday.  Requirements: Picture ID requested.For more information, please call. ...",(626) 579-2190,,,,,,,,,El Monte,4368 Santa Anita Ave.,CA,91731,PostalAddress
https://schema.org,LocalBusiness,,,,,Elim Community Pantry,,,https://www.foodpantries.org/gallery/no_photo_6.jpg,"Distribution Hours:Saturday 7:00am - 9:00am First come, first serve basis. No ID, proof of income, utility bill required. We are on the corner of Hollenbeck Avenue and Rowland Street. Ample parking available behind the building. Accessible driveway is on the north side of Rowland Street. Gate will be open behind the building. Clients receive an assorted box of groceries.  Donations are welcome 24/7, 365 days a year. Hablamos EspaÃ±ol.Hablamos EspaÃ±ol.For more information, please call...",(626) 915-5300,,,,,,,,,Covina,550 South Hollenbeck Avenue,CA,91723,PostalAddress
https://schema.org,LocalBusiness,,,,,Our Blessed Saint Kateri Tekakwitha,,,https://www.foodpantries.org/gallery/38906_our-blessed-saint-kateri-tekakwitha_wqk.jpg,"Hours:Wednesdays 9:00 AM to 10:30 AM.Bring Any California I.D.Eligibility:Low Income families and individuals..  Recipients can return once a month for assistance. Also, provide Diapers and baby  food when available.",(951) 849-2434,,,,,,,,,Banning,157 W Nicolet St,CA,92220,PostalAddress
https://schema.org,LocalBusiness,,,,,Bread Basket Food Bank,,,https://www.foodpantries.org/gallery/no_photo_2.jpg,"The Food Bank is operated through donations and is available to anyone to shop. There are no applications or qualifications needed. There is a variety of breads and different foods available each week. The suggested donations allow us to help others.  Emergency food box is available four times per year.Requirements: Please bring a photo ID and proof of residency for Hemet, San Jacinto, or surrounding rural areas for emergency food only.   Hours: Monday 8:00am - 11:00am Friday 8:00am - 11:00am...",(951) 658-5098,,,,,,,,,San Jacinto,2385 S. San Jacinto Ave,CA,92583,PostalAddress
https://schema.org,LocalBusiness,,,,,Hemet Community Pantry,,,https://www.foodpantries.org/gallery/no_photo_2.jpg,"Primarily an emergency food bank, however they do have other resources to help with issues such as shelter and utilities. Also have the ability to refer you to the appropriate resource if they do not have what you need available.Clients Hours:Monday - Thursday 9:30am to 12:00pmMust Arrive by 11:30amClosed Fridays and most Major HolidaysDonors &amp; Volunteers Hours:Monday-Thursday 8:00am to 12:30pmFriday VariesLocated in the back parking lot of Trinity Lutheran...",(951) 929-1101,,,,,,,,,Hemet,191 S. Columbia Street,CA,92544,PostalAddress
https://schema.org,LocalBusiness,,,,,Salvation Army Hemet,,,https://www.foodpantries.org/gallery/no_photo_9.jpg,"Food & Nutrition Programs, emergency financial assistance, emergency shelter, transitional housing, disaster services.Serves: Hemet, San Jacinto, Homeland, and Idyllwild.Hours:Monday and Tuesday 1:00pm to 4:00pm Wednesday and Thursday 9:00am to 12:00pmRequirements: ID and proof of residency...",(951) 791-9497,,,,,,,,,Hemet,340 S. Palm Avenue,CA,92543,PostalAddress
https://schema.org,LocalBusiness,,,,,The Blessing Center,,,https://www.foodpantries.org/gallery/no_photo_6.jpg,"Food pantry, clothes, employment resources, English classes, dental clinic, non emergency medical services Food Distribution:  Tuesday, Wednesday, Saturday 9:00am - 11:00amFor more information, please call.  ...",(909) 793-5677,,,,,,,,,Redlands,1157 Judson Street,CA,92374,PostalAddress
https://schema.org,LocalBusiness,,,,,Salvation Army Redlands,,,https://www.foodpantries.org/gallery/no_photo_8.jpg,"Serves: The Salvation Army in Redlands, CA has the following food opportunities available for Residents of Loma Linda, Redlands, Mentone, Yucaipa, and Calimesa, California:FreshHELP - a food box program targeted to low-income families who need temporary food assistance - program length is 3 months, but clients my re-certify based on need. Clients receive 1-3 food boxes of fresh produce and perishables, including milk and eggs each week, based on availabilityEmergency Food box - Available once every 3 months, 1-3 boxes bas...",(909) 792-8818,,,,,,,,,Redlands,838 Alta Street,CA,92374,PostalAddress
https://schema.org,LocalBusiness,,,,,Desert Manna Food Bank,,,https://www.foodpantries.org/gallery/32641_desert-manna-food-bank_tqy.jpg,"provides USDA food commodities to the needy publicHours:Saturday9:00am - 12:300pm When there is a produce market9:00am - 2:00pmThe 3rd Thursday of the monthCommodities9:00am - 2:00pmThe food bank is closed to the public during the week, except for non-profits.Also has a homeless shelter on premises.  full meals are provided daily onsite by various church group in the community, call for details.  We provide free lunch and dinners to the public, an emergency food pantry, and dis",(760) 256-7797,,,,,,,,,Barstow,201 N. 1st Avenue,CA,92311,PostalAddress
https://schema.org,LocalBusiness,,,,,Rio Vista Elementary,,,https://www.foodpantries.org/gallery/no_photo_9.jpg,FREE FRESH PRODUCE twice a month to low-income individuals and their family. Please bring 2 bags with handlesHOURS1st and 3rd Tuesday4:00pm to 5:00pm,(925) 458-6101,,,,,,,,,Bay Point,611 Pacifica Ave.,CA,94565,PostalAddress
https://schema.org,LocalBusiness,,,,,Ambrose Teen Center - Pantry,,,https://www.foodpantries.org/gallery/36156_ca_ambrose-teen-center-pantry_rik.jpg?oh=7a43b0381ad5c633e2f3780751171c12&oe=565A16A5&__gda__=1444995805_2ff2432c84ed022a1009bea1fb193efb,FREE FRESH PRODUCE twice a month to low-income individuals and their family. Please bring 2 bags with handlesHOURS1st and 3rd Thursday4:00pm to 5:00pm,925-458-1601,,,,,,,,,Bay Point,3105 Willow Pass Rd,CA,94565-3149,PostalAddress
https://schema.org,LocalBusiness,,,,,St Bernard Church Food Pantry,,,https://www.foodpantries.org/gallery/no_photo_8.jpg,"Hours: Tuesday 10:00am to 1:00pm Get there early to get in line. Canned food and other groceries. For more information, please call.",(562) 867-2337,,,,,,,,,Bellflower,9627 Beach St,CA,90706,PostalAddress
https://schema.org,LocalBusiness,,,,,Bethany Church,,,https://www.foodpantries.org/gallery/38349_bethany-church_pgy.png,"For more information, please call.",(562) 866-1812,,,,,,,,,Bellflower,17054 Bixby Ave,CA,90706,PostalAddress
https://schema.org,LocalBusiness,,,,,The Lord's Church,,,https://www.foodpantries.org/gallery/38350_the-lords-church_wqf.png,Food Hours: Every 2nd and 4th Wednesday 7:45pm  Clothing Distribution: Hours:Every 1st and 3rd Wednesday 10:00am - 12:00pm,(562) 866-8283,,,,,,,,,Bellflower,9740 Flower Street,CA,90706,PostalAddress
https://schema.org,LocalBusiness,,,,,Hosanna Chapel of Bellflower,,,https://www.foodpantries.org/gallery/38351_hosanna-chapel-of-bellflower_wuy.jpg,"Food Distribution:  Bread, soft drinks, Misc food available.Hours:8:30pm - 9:00pmAfter Bible study at 7:15 PM First come , first served.   Back of the Church. For more information, please call. ",(562) 925-5093,,,,,,,,,Bellflower,16705 Bellflower Blvd,CA,90706,PostalAddress
https://schema.org,LocalBusiness,,,,,St Dominic Savio Church,,,https://www.foodpantries.org/gallery/no_photo_3.jpg,"Food Distribution Hours:Every Thursday 8:00am to 10:00amCanned foods, bread and meats.",(562) 920-7796,,,,,,,,,Bellflower,13400 Bellflower BLVD,CA,90706,PostalAddress
https://schema.org,LocalBusiness,,,,,Bellwood Baptist Church,,,https://www.foodpantries.org/gallery/no_photo_8.jpg,"Hours: Thursday10:00amFor more information, please call.",(562) 925-4888,,,,,,,,,Bellflower,17614 Virginia Ave,CA,90706,PostalAddress
https://schema.org,LocalBusiness,,,,,St George's Church,,,https://www.foodpantries.org/gallery/no_photo_8.jpg,"Hours: The 2nd and 4th Thursday 4:00am - 6:00pmFor more information, please call.",(562) 866-6668,,,,,,,,,Bellflower,15725 Cornuta Ave,CA,90706,PostalAddress
https://schema.org,LocalBusiness,,,,,Holy Redeemer Church,,,https://www.foodpantries.org/gallery/38356_holy-redeemer-church_gaf.jpg,"Hours: Friday 9:00am - 10:30am  Sign in at 8:am Canned goods, produce and groceries",(562) 867-0714,,,,,,,,,Bellflower,14515 Blain ave,CA,90706,PostalAddress
https://schema.org,LocalBusiness,,,,,Rosewood Church,,,https://www.foodpantries.org/gallery/38357_rosewood-church_wqg.jpg,"Hours: Friday 3:00pm - 4:00pm Groceries, dry, canned goods, bread, frozen meat. For more information, please call.",(562) 804-4778,,,,,,,,,Bellflower,10115 Rose St,CA,90706,PostalAddress
https://schema.org,LocalBusiness,,,,,Warrior Center - Palm Street Park,,,https://www.foodpantries.org/gallery/38362_warrior-center-palm-street-park_pvz.png,"Food Distribution Hours:  Last Saturday of every month12:00pm to 2:00pmFood available and lunch until gone For more information, please call. ",(562) 644-2343,,,,,,,,,Bellflower,14515 Blaine Ave.,CA,90706,PostalAddress
