name,address_postalCode,address_streetAddress,address_addressRegion,image,description,@context,address_@type,telephone,address_addressLocality,@type
St George's Church,90706,15725 Cornuta Ave,CA,https://www.foodpantries.org/gallery/no_photo_8.jpg,"Hours: The 2nd and 4th Thursday 4:00am - 6:00pmFor more information, please call.",https://schema.org,PostalAddress,(562) 866-6668,Bellflower,LocalBusiness
Holy Redeemer Church,90706,14515 Blain ave,CA,https://www.foodpantries.org/gallery/38356_holy-redeemer-church_gaf.jpg,"Hours: Friday 9:00am - 10:30am  Sign in at 8:am Canned goods, produce and groceries",https://schema.org,PostalAddress,(562) 867-0714,Bellflower,LocalBusiness
Rosewood Church,90706,10115 Rose St,CA,https://www.foodpantries.org/gallery/38357_rosewood-church_wqg.jpg,"Hours: Friday 3:00pm - 4:00pm Groceries, dry, canned goods, bread, frozen meat. For more information, please call.",https://schema.org,PostalAddress,(562) 804-4778,Bellflower,LocalBusiness
Warrior Center - Palm Street Park,90706,14515 Blaine Ave.,CA,https://www.foodpantries.org/gallery/38362_warrior-center-palm-street-park_pvz.png,"Food Distribution Hours:  Last Saturday of every month12:00pm to 2:00pmFood available and lunch until gone For more information, please call. ",https://schema.org,PostalAddress,(562) 644-2343,Bellflower,LocalBusiness
Burbank Temporary Aid Center,91506,1304 W Burbank Blvd,CA,https://www.foodpantries.org/gallery/36348_burbank-temporary-aid-center_tti.jpg,"Hours:Tuesday, Wednesday, Thursday 9:00am - 12:00pm; 1:30pm - 5:00pm Closed on Holidays BTAC provides clients a variety of programs and services including: Groceries from BTAC's Food Pantry. Daily sack lunches for the homeless. Assistance with utility bills. Transportation assistance. ID/License replacement program. Limited medical assistance. Limited emergency shelter, via a voucher program with cooperating businesses in the area. Shower facilities for the homeless. Laundry facilities for the homeles",https://schema.org,PostalAddress,(818) 848-2822,Burbank,LocalBusiness
Claremont Joslyn Senior Center,91711,660 N. Mountain Ave.,CA,https://www.foodpantries.org/gallery/no_photo_9.jpg,"Our Food Security Program helps some 4,000 no and low income residents of the Inland Valley access high-quality, healthy food resources each month with 5 program centers located in Pomona, Ontario, San Dimas, Claremont and South Pomona plus 2 once/month food distributions in Upland and Chino.What We DoAt our sites,clients are provided with a 4-5 day supply of food every 30 days (homeless every two weeks). Families may also receive fresh produce through our partnership with Amy's Farm (a working farm that donates a sizeable sha",https://schema.org,PostalAddress,(909) 622-3806,Claremont,LocalBusiness
New Life Community,,275 E Foothill Blvd,CA,https://www.foodpantries.org/gallery/no_photo_4.jpg,"Hours:Friday4:00pmFor more information, please call. ...",https://schema.org,PostalAddress,(909) 593-7070,Pomona,LocalBusiness
CUSH Foundation,91767,2343 N. San Antonio Avenue,CA,https://www.foodpantries.org/gallery/no_photo_8.jpg, The Human Services Program is devoted to providing programs and/or services that support individuals and families in resolving problems and improving their quality of life.  Some of our services include:      Uplifting the community by providing hunger relief through our bi-monthly Feeding our Friends distribution of food to needy families.     Implementing programs and/or services that satisfy gaps of need for the under-served.     Partnering with community leaders and organizations through the annual Christmas Collabo...,https://schema.org,PostalAddress,(909) 621-5369,Pomona,LocalBusiness
Pomona Salvation Army Emergency Food,91767,490 E. La Verne Ave.,CA,https://www.foodpantries.org/gallery/no_photo_10.jpg,"Monthly assistance food emergency program. Provides monthly assistance to homeless individuals or families and once-every-two-months assistance to those with an address. Participants are given a box of food generally including meat, bread, eggs, and miscellaneous foodstuffs, depending on availability. Bus vouchers are also available.Hours: Mondays through Fridays 8am to 12 noon, 1pm to 4pm. ...",https://schema.org,PostalAddress,(909) 623-1579,Pomona,LocalBusiness
Foothill Family Shelter,91786,"1501 W. 9 Street, ",CA,https://www.foodpantries.org/gallery/no_photo_10.jpg,"Foothill Family Shelter offers incredible services for homeless and low-income families. There are several ways to get involved; we have many exciting volunteer opportunities and we are always in need of canned food, diapers, wipes and hygiene products. Serves: The cities of Upland, Rancho Cucamonga, Montclair,  and Ontario in San Bernardino County and Pomona and Claremont in Los  Angeles County. HoursTuesday - Friday 9:00am - 5:00pm (closed 12-1 for lunch)For more information, please ca...",https://schema.org,PostalAddress,(909) 920-0453,Upland,LocalBusiness
Inland Valley Hope Partners,91768,1753 N. Park Ave.,CA,https://www.foodpantries.org/gallery/no_photo_2.jpg,"Hours:Monday - Thurday9:00am - 3:00pmEmergency Food Assistance; location in Ontario, Pomona, Claremont and San DimasEmergency Housing Program. For more information, please call. ...",https://schema.org,PostalAddress,(909) 622-3806,Pomona,LocalBusiness
Action Food Pantry - Grace Lutheran Church,91722,17880 E. Covina Blvd.,CA,https://www.foodpantries.org/gallery/36109_action-food-pantry_fvi.jpg,"Provides food for Low income, Senior, Disabled and the Homeless. Hours: Monday 4:00pm to 7:00pm Thursday 10:00pm to 1:00pmRequirements: Please bring a valid ID and a recent piece of mail with current address.Make Donation Checks Payable toACTION Food Pantryand mail to: &nbsp;&nbsp;&nbsp;&nbsp; 17880 E. Covina Blvd.&nbsp;&nbsp;&nbsp;&nbsp; Covina, Ca. 91722&nbsp; For more information, please call. ",https://schema.org,PostalAddress,(626) 319-0554,Covina,LocalBusiness
Elim Community Pantry,91723,550 South Hollenbeck Avenue,CA,https://www.foodpantries.org/gallery/37425_elim-community-pantry_wln.jpg,"Distribution Hours:Saturday 7:00am - 9:00am First come, first serve basis. No ID, proof of income, utility bill required. We are on the corner of Hollenbeck Avenue and Rowland Street. Ample parking available behind the building. Accessible driveway is on the north side of Rowland Street. Gate will be open behind the building. Clients receive an assorted box of groceries.  Donations are welcome 24/7, 365 days a year. Hablamos Espa̱ol.Hablamos Espa̱ol.For more information, please call",https://schema.org,PostalAddress,(626) 915-5300,Covina,LocalBusiness
Shepherd's Pantry,91740,657 E. Arrow Highway,CA,https://www.foodpantries.org/gallery/no_photo_10.jpg,"The people who utilize our services come from all walks of life. We all experience difficult times in our lives and sometimes we need a helping hand. More than 50% of the people we serve are experiencing a very temporary situation and just need a little help to get them through a rough time. Our volunteers genuinely love helping people and go out of their way to try to meet the needs of everyone we serve. The most rewarding part is the smiles and expressions of gratitude from those we serve.Hours:Wednesday, Thursday5:00pm - ...",https://schema.org,PostalAddress,(626) 852-7630,Glendora,LocalBusiness
Shepherd's Pantry Glendora,91740,657 E. Arrow Highway,CA,https://www.foodpantries.org/gallery/no_photo_9.jpg,"We are open to the public  for food and clothing service.Hours:Wednesday and Thursday5:00pm - 7:00pm You must have a residence address in  one of the ten (10) cities we serve: Azusa, Baldwin Park, Claremont,  Covina, Glendora, Hacienda Heights, La Puente, La Verne, San Dimas &  West Covina. Please bring proof of residence address on your first  visit, such as a driver's license or utility bill. There is no charge  for our services and you may return once per month for up to six months:  extended programs are...",https://schema.org,PostalAddress,(626) 852-7630,Glendora,LocalBusiness
San Dimas Center,91773,110 E. Third Street,CA,https://www.foodpantries.org/gallery/no_photo_2.jpg,"Our Food Security Program helps some 4,000 no and low income residents of the Inland Valley access high-quality, healthy food resources each month with 5 program centers located in Pomona, Ontario, San Dimas, Claremont and South Pomona plus 2 once/month food distributions in Upland and Chino.What We DoAt our sites,clients are provided with a 4-5 day supply of food every 30 days (homeless every two weeks). Families may also receive fresh produce through our partnership with Amy's Farm (a working farm that donates a sizeable...",https://schema.org,PostalAddress,(909) 599-1103,San Dimas,LocalBusiness
La Puente Church of Christ,91746,15124 Amar Rd,CA,https://www.foodpantries.org/gallery/no_photo_3.jpg,Hours:1st &amp; 3rd Friday of the month 1:00pm - 3:00pm 1st &amp; 3rd Sunday of the month 1:00pm - 3:00pm Bread Distribution HourThursday 10:00am - 1:00pm Serves: La Puente residents and all surrounding cities...,https://schema.org,PostalAddress,(626) 917-8814,La Puente,LocalBusiness
Shepherd's Pantry - Irwindale Distribution Center,91706,1418 Arrow Highway,CA,https://www.foodpantries.org/gallery/no_photo_1.jpg,"Food Pantry. Provide people with food assistance. Each person who comes seeking help sees a counselor who assesses their needs and arranges for their food allotment, as well as offering access to our extensive referral program. Pantry Hours:Tuesday5:00pm - 7:00pmHomeless Food DistributionMonday, Wednesday, Friday11:00am - 12:00pmFor more information, please call....",https://schema.org,PostalAddress,(626) 305-0392,Irwindale,LocalBusiness
St. Augustine's S.A.V.E.S. Food Pantry,90232,3850 Jasmine Ave.,CA,https://www.foodpantries.org/gallery/1951_ca-st_augustines_saves_food_pantry_nlt.png,"Food pantry which provides groceries to the needy.Hours:Mondays, Wednesdays and Fridays 9:00am - 11:45am.",https://schema.org,PostalAddress,310-838-2477,Culver City,LocalBusiness
St. Gerard's Social Service Food Pantry,90066,4439 Inglewood Blvd.,CA,https://www.foodpantries.org/gallery/no_photo_6.jpg,"Food pantry providing groceries to the needy. Hours:Tuesday and Thursday 9:00am - 12:00pm and 1:00pm - 3:00pmFor more information, please call. ...",https://schema.org,PostalAddress,(310) 390-5034,Los Angeles,LocalBusiness
Faith Tabernacle Church Pantry,90025,2147 Purdue Ave.,CA,https://www.foodpantries.org/gallery/no_photo_9.jpg,Church food pantry for the needy in Los Angeles. Hours:Sunday 12:30pm - 2:00pm....,https://schema.org,PostalAddress,310-473-3135,Los Angeles,LocalBusiness
SOVA West Food Pantry,90035,8846 W. Pico Blvd,CA,https://www.foodpantries.org/gallery/no_photo_10.jpg,"The WEST pantry is located on the south side of Pico Blvd. one-half block west of Robertson Ave. Metered street parking is available on Pico Blvd. and surrounding streets as well as in a parking lot located just a few doors west of the building.  Pantry Hours: Monday - Thursday 10:00am - 1:30pmSunday9:00am - 12:00pmFor more information, please call.   ...",https://schema.org,PostalAddress,(310) 288-0286,Los Angeles,LocalBusiness
California Food and Justice Coalition,90291,398 60th St.,CA,https://www.foodpantries.org/gallery/no_photo_6.jpg,"For more information, please call....",https://schema.org,PostalAddress,310 822-5410,Oakland,LocalBusiness
Food Pantry LAX,90302,355 E. Beach St.,CA,https://www.foodpantries.org/gallery/no_photo_8.jpg,"Food pantry which provides groceries in InglewoodFood Pantry open for those in need: 10am to Noon, Tue and Fri. Donations can be dropped off between 9am to Noon, Tue and Fri....",https://schema.org,PostalAddress,310-677-5597,Ingelwood,LocalBusiness
Food Help,90241,10909 New Street,CA,https://www.foodpantries.org/gallery/38364_food-help_egn.png,"Food Distribution Hour:Saturday9:00am to 12:00pmFor more information, please call.",https://schema.org,PostalAddress,(562) 862-2438,Downey,LocalBusiness
St Dominic Savio Church,90706,13400 Bellflower BLVD,CA,https://www.foodpantries.org/gallery/no_photo_9.jpg,"Food Distribution Hours:Every Thursday 8:00am to 10:00amCanned foods, bread and meats....",https://schema.org,PostalAddress,(562) 920-7796,Bellflower,LocalBusiness
Warrior Center - Palm Street Park,90706,14515 Blaine Ave.,CA,https://www.foodpantries.org/gallery/no_photo_5.jpg,"Food Distribution Hours:  Last Saturday of every month12:00pm to 2:00pmFood available and lunch until gone For more information, please call. ...",https://schema.org,PostalAddress,(562) 644-2343,Bellflower,LocalBusiness
Holy Redeemer Church,90706,14515 Blain ave,CA,https://www.foodpantries.org/gallery/no_photo_6.jpg,"Hours: Friday 9:00am - 10:30am  Sign in at 8:am Canned goods, produce and groceries...",https://schema.org,PostalAddress,(562) 867-0714,Bellflower,LocalBusiness
St George's Church,90706,15725 Cornuta Ave,CA,https://www.foodpantries.org/gallery/no_photo_4.jpg,"Hours: The 2nd and 4th Thursday 4:00am - 6:00pmFor more information, please call....",https://schema.org,PostalAddress,(562) 866-6668,Bellflower,LocalBusiness
Emmanual Church,90723,15941 Virginia Ave,CA,https://www.foodpantries.org/gallery/no_photo_9.jpg,Food Hours:Last names A-K 1st and 4th Friday of the month. Last names L-V 2nd and 4th Friday of the month  Celebrate recovery at 6:pm...,https://schema.org,PostalAddress,(562) 533-6820,Paramount,LocalBusiness
Our Saviour Center Food Pantry,91731,4368 Santa Anita Ave,CA,https://www.foodpantries.org/gallery/no_photo_6.jpg,"Distributes groceries.Hours:Tuesday and Thursday (except holidays)For more information, please call.",https://schema.org,PostalAddress,(626) 579-2190,El Monte,LocalBusiness
Our Saviour Center Food Pantry,91731,4368 Santa Anita Ave.,CA,https://www.foodpantries.org/gallery/35424_our-saviour-center_fuh.png,"Hours:Tuesday and Thursday 10:00am to 1:00pmUnless it is a holiday.  Requirements: Picture ID requested.For more information, please call. ",https://schema.org,PostalAddress,(626) 579-2190,El Monte,LocalBusiness
San Gabriel Valley Service Center ,91733,1441 Santa Anita Avenue,CA,https://www.foodpantries.org/gallery/no_photo_9.jpg,"The Los Angeles Regional Food Bank provides food to low-income seniors (60+). Requirements: Income verification and picture identification are required to receive the food.Food Pantry Hours:4th Monday of every month9:00am - 11:00amFor more information, please call. ...",https://schema.org,PostalAddress,(626) 575-5431,South El Monte,LocalBusiness
Shepherd's Pantry - Baldwin Park,91706,13020 Francissquito Ave,CA,https://www.foodpantries.org/gallery/no_photo_3.jpg,"Hours:Friday5:00pm - 7:00pmFor more information, please call. ...",https://schema.org,PostalAddress,(626) 671-0090,Baldwin Park,LocalBusiness
God Provides Food Bank - Native American Food Bank,91733,2453 Troy Ave.,CA,https://www.foodpantries.org/gallery/no_photo_8.jpg,"Regional Native American Food Bank serving all communities throughout  Southern California. We distribute 100 lb family pack program for  agencies support, aide with food distributions to local pantries,  homeless outreaches, support local government with emergency food  source, youth organizations,  and veteran support. HoursMonday - Friday8:00am - 4:00pmSaturday 8:00am - 2:00pmOpen most holidays.For more information, please call. ...",https://schema.org,PostalAddress,(626) 442-4273,South El Monte,LocalBusiness
Shepherd's Pantry - Irwindale Distribution Center,91706,1418 Arrow Highway,CA,https://www.foodpantries.org/gallery/no_photo_7.jpg,"Food Pantry. Provide people with food assistance. Each person who comes seeking help sees a counselor who assesses their needs and arranges for their food allotment, as well as offering access to our extensive referral program. Pantry Hours:Tuesday5:00pm - 7:00pmHomeless Food DistributionMonday, Wednesday, Friday11:00am - 12:00pmFor more information, please call....",https://schema.org,PostalAddress,(626) 305-0392,Irwindale,LocalBusiness
La Puente Church of Christ,91746,15124 Amar Rd,CA,https://www.foodpantries.org/gallery/no_photo_4.jpg,Hours:1st &amp; 3rd Friday of the month 1:00pm - 3:00pm 1st &amp; 3rd Sunday of the month 1:00pm - 3:00pm Bread Distribution HourThursday 10:00am - 1:00pm Serves: La Puente residents and all surrounding cities...,https://schema.org,PostalAddress,(626) 917-8814,La Puente,LocalBusiness
Catholic Charities Immigration Services - Glendale,91204,4322 San Fernando Road,CA,https://www.foodpantries.org/gallery/38182_catholic_cha-Glenda-91204_qso.png,"Clients must live in certain areas to get services (Glendale, Burbank, Eagle Rock, Highland Park, Atwater, and part of Sunland) call and ask if they serve your zip code. Provides immigration assistance and food pantry.Requirements: Bring picture ID, SS card, proof of address, children's birth certificates, and proof of income.Hours:Monday - Friday10:00am - 12:00pm; 1:15pm - 3:30pmFor more information, please call. ",https://schema.org,PostalAddress,(213) 318-5716,Glendale,LocalBusiness
Burbank Temporary Aid Center,91506,1304 W Burbank Blvd,CA,https://www.foodpantries.org/gallery/no_photo_5.jpg,"Hours:Tuesday, Wednesday, Thursday 9:00am - 12:00pm; 1:30pm - 5:00pm Closed on Holidays BTAC provides clients a variety of programs and services including: Groceries from BTAC's Food Pantry. Daily sack lunches for the homeless. Assistance with utility bills. Transportation assistance. ID/License replacement program. Limited medical assistance. Limited emergency shelter, via a voucher program with cooperating businesses in the area. Shower facilities for the homeless. Laundry facilities for the homeles...",https://schema.org,PostalAddress,(818) 848-2822,Burbank,LocalBusiness
Altadena Food Pantry,91001,943 E. Altadena Drive,CA,https://www.foodpantries.org/gallery/no_photo_8.jpg,"Food Distribution on Saturday mornings from 10:00 AM to Noon.  This food pantry is operated by several local (Altadena) churches and located at the Altadena Community Church.  There is a set weekly menu with recipes for each week. Intended for those locally of need.Housed at the back of our church, the Food Pantry was started by ACC and  three other Altadena congregations when we discovered that many of the  local food programs are closed on the weekend. Volunteers buy the food,  pack the bags, and hand them out Saturday ...",https://schema.org,PostalAddress,(626) 798-1185,Altadena,LocalBusiness
Project Angel Food,90038,922 Vine Street,CA,https://www.foodpantries.org/gallery/no_photo_7.jpg,"We are a program that cooks and delivers free meals to the homes of persons who are home bound with life-threatening illness, We depend on volunteers for growing produce in our gardens, cooking and packing our meals, as well as office projects and special events; volunteers must make an appointment at the phone number listed.Office Hours:Monday8:00am - 4:00pmSunday8:00am - 12:00pmFor more information, please call. ...",https://schema.org,PostalAddress,(323) 845-1800,Los Angeles,LocalBusiness
Community Distribution Center,91352,11350 Saticoy Street,CA,https://www.foodpantries.org/gallery/no_photo_2.jpg,"Community Distribution Center (CDC) is an Emergency Feeding Organization (EFO) providing hunger relief to families living in poverty in the San Fernando Valley. CDC solicits and distributes more than 3 million pounds of food and non-food items annually impacting nearly18,000 people. CDC operates out of a large facility (former grocery store) located in Sun Valley, CA -we are open six days a week and provides one shopping cart full of approximately 200 pounds of food per visit, providing sustenance for a family of seven for a week.  Currently...",https://schema.org,PostalAddress,(818) 759-0616,Sun Valley,LocalBusiness
North Hollywood Interfaith Food Pantry,91604,4390 Colfax Avenue,CA,https://www.foodpantries.org/gallery/no_photo_1.jpg,"Hours:Monday - Friday9:00am - 1:00pmPLEASE NOTE THAT THE ENTRANCE IS ON THE TROOST SIDE OF THE PARKING LOT ONLYFor more information, please call....",https://schema.org,PostalAddress,(818) 980-1657,Studio City,LocalBusiness
Shepherd's Pantry Glendora,91740,657 E. Arrow Highway,CA,https://www.foodpantries.org/gallery/34186_ca_91740_shepherds-pantry-glendora_yve.jpg,"We are open to the public  for food and clothing service.Hours:Wednesday and Thursday5:00pm - 7:00pm You must have a residence address in  one of the ten (10) cities we serve: Azusa, Baldwin Park, Claremont,  Covina, Glendora, Hacienda Heights, La Puente, La Verne, San Dimas &  West Covina. Please bring proof of residence address on your first  visit, such as a driver's license or utility bill. There is no charge  for our services and you may return once per month for up to six months:  extended programs are",https://schema.org,PostalAddress,(626) 852-7630,Glendora,LocalBusiness
Shepherd's Pantry,91740,657 E. Arrow Highway,CA,https://www.foodpantries.org/gallery/39046_ca_91740_shepherds-pantry_nfi.jpg,"The people who utilize our services come from all walks of life. We all experience difficult times in our lives and sometimes we need a helping hand. More than 50% of the people we serve are experiencing a very temporary situation and just need a little help to get them through a rough time. Our volunteers genuinely love helping people and go out of their way to try to meet the needs of everyone we serve. The most rewarding part is the smiles and expressions of gratitude from those we serve.Hours:Wednesday, Thursday5:00pm - ",https://schema.org,PostalAddress,(626) 852-7630,Glendora,LocalBusiness
San Dimas Center,91773,110 E. Third Street,CA,https://www.foodpantries.org/gallery/no_photo_1.jpg,"Our Food Security Program helps some 4,000 no and low income residents of the Inland Valley access high-quality, healthy food resources each month with 5 program centers located in Pomona, Ontario, San Dimas, Claremont and South Pomona plus 2 once/month food distributions in Upland and Chino.What We DoAt our sites,clients are provided with a 4-5 day supply of food every 30 days (homeless every two weeks). Families may also receive fresh produce through our partnership with Amy's Farm (a working farm that donates a sizeable...",https://schema.org,PostalAddress,(909) 599-1103,San Dimas,LocalBusiness
Action Food Pantry - Grace Lutheran Church,91722,17880 E. Covina Blvd.,CA,https://www.foodpantries.org/gallery/no_photo_8.jpg,"Provides food for Low income, Senior, Disabled and the Homeless. Hours: Monday 4:00pm to 7:00pm Thursday 10:00pm to 1:00pmRequirements: Please bring a valid ID and a recent piece of mail with current address.Make Donation Checks Payable toACTION Food Pantryand mail to: &nbsp;&nbsp;&nbsp;&nbsp; 17880 E. Covina Blvd.&nbsp;&nbsp;&nbsp;&nbsp; Covina, Ca. 91722&nbsp; For more information, please call. ...",https://schema.org,PostalAddress,(626) 319-0554,Covina,LocalBusiness
Elim Community Pantry,91723,550 South Hollenbeck Avenue,CA,https://www.foodpantries.org/gallery/no_photo_8.jpg,"Distribution Hours:Saturday 7:00am - 9:00am First come, first serve basis. No ID, proof of income, utility bill required. We are on the corner of Hollenbeck Avenue and Rowland Street. Ample parking available behind the building. Accessible driveway is on the north side of Rowland Street. Gate will be open behind the building. Clients receive an assorted box of groceries.  Donations are welcome 24/7, 365 days a year. Hablamos Espa̱ol.Hablamos Espa̱ol.For more information, please call...",https://schema.org,PostalAddress,(626) 915-5300,Covina,LocalBusiness
New Life Community,,275 E Foothill Blvd,CA,https://www.foodpantries.org/gallery/no_photo_10.jpg,"Hours:Friday4:00pmFor more information, please call. ...",https://schema.org,PostalAddress,(909) 593-7070,Pomona,LocalBusiness
 Inland Valley Hope Partners - Sova Program Center,91761,1753 N Park Ave,CA,https://www.foodpantries.org/gallery/no_photo_2.jpg,"Our Food Security Program helps some 4,000 no and low income residents of the Inland Valley access high-quality, healthy food resources each month with 5 program centers located in Pomona, Ontario, San Dimas, Claremont and South Pomona plus 2 once/month food distributions in Upland and Chino.What We DoAt our sites,clients are provided with a 4-5 day supply of food every 30 days (homeless every two weeks). Families may also receive fresh produce through our partnership with Amy's Farm (a working farm that donates a sizeable...",https://schema.org,PostalAddress,(909) 622-3806,Pomona,LocalBusiness
Hawaiian Gardens Food,90716,22121 Norwalk Blvd,CA,https://www.foodpantries.org/gallery/no_photo_1.jpg,"Provides food and other resources to families in need.&nbsp; For more information, please call. ",https://schema.org,PostalAddress,(562) 860-9097,Hawaiian Gardens,LocalBusiness
Food Pantry LAX,90302,355 E. Beach St.,CA,https://www.foodpantries.org/gallery/no_photo_5.jpg,"Food pantry which provides groceries in InglewoodFood Pantry open for those in need: 10am to Noon, Tue and Fri. Donations can be dropped off between 9am to Noon, Tue and Fri.",https://schema.org,PostalAddress,310-677-5597,Ingelwood,LocalBusiness
Shepherd's Pantry - Irwindale Distribution Center,91706,1418 Arrow Highway,CA,https://www.foodpantries.org/gallery/37907_corys_kitche-Irwind-91706_lsa.png,"Food Pantry. Provide people with food assistance. Each person who comes seeking help sees a counselor who assesses their needs and arranges for their food allotment, as well as offering access to our extensive referral program. Pantry Hours:Tuesday5:00pm - 7:00pmHomeless Food DistributionMonday, Wednesday, Friday11:00am - 12:00pmFor more information, please call.",https://schema.org,PostalAddress,(626) 305-0392,Irwindale,LocalBusiness
La Puente Church of Christ,91746,15124 Amar Rd,CA,https://www.foodpantries.org/gallery/38847_ca_91744_la-puente-church-of-christ_hoa.jpg,Hours:1st &amp; 3rd Friday of the month 1:00pm - 3:00pm 1st &amp; 3rd Sunday of the month 1:00pm - 3:00pm Bread Distribution HourThursday 10:00am - 1:00pm Serves: La Puente residents and all surrounding cities,https://schema.org,PostalAddress,(626) 917-8814,La Puente,LocalBusiness
SSS Good Samaritan Association - Calvary Hall,92707,5035 Hedda St,CA,https://www.foodpantries.org/gallery/24232_sss_good_samaritan_association_92706_jhc.jpg,"Provides a food pantry.  Our food bank is designed assist and/or  supplement food reserves for families that are barely meeting their  basic needs. Most of what we offer is canned food. When available, we  also give away toys, household essentials, used clothing, and other home  items. Hours;The 4th Saturday of the month8:30am - 10:00am Date:&nbsp;&nbsp;",https://schema.org,PostalAddress,(562) 619-0467,Lakewood,LocalBusiness
The Journey @ Mayfair Church,90713,6150 Bellflower Blvd,CA,https://www.foodpantries.org/gallery/no_photo_4.jpg,Hours:The 1st Saturday of every month9:00am to 11:00am Come early to sign in.  Clothing also available.,https://schema.org,PostalAddress,(562) 867-3198,Lakewood,LocalBusiness
Lakewood First Unitd Methodist Church,90713,4300 Bellflower Blvd,CA,https://www.foodpantries.org/gallery/38360_lakewood-first-unitd-methodist-church_wgw.jpg,"Hours:Saturday9:00am to 11:00amFor more information, please call.",https://schema.org,PostalAddress,(562) 425-1219,Lakewood,LocalBusiness
Cityline Church,90713,6236 Woodruff Ave,CA,https://www.foodpantries.org/gallery/38361_cityline-church_fni.png,"Hours:The 3rd Saturday of the month11:00am to 12:00pmFor more information, please call.",https://schema.org,PostalAddress,(562) 925-0251,Lakewood,LocalBusiness
